provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
30126,2008-10-30,2008-12-31,2013-05-16,2013-05-01,v1996,84.0,18004662.0,4707702.0,13296960.0,10235702.0,1039448.0,775200.0,12317255.0,423.0,104.0,62.0,1222922.0,,515 N MESA DRIVE,MESA,AZ,85201,MARICOPA,ARIZONA REGIONAL MEDICAL CENTER,,0.543042,2978613.0,930051.0,2737863.0,,8125.0,944.0,,,276125.0,,4616428.0,8460116.0,14718796.0,3285866.0,2689367.0,2549114.0,,,,,,,2008,unique reports
50763,2008-11-25,2008-12-31,2010-07-27,2010-07-20,v1996,186.0,18896005.0,7564622.0,11331383.0,5339812.0,4699013.0,583899.0,10577131.0,449.0,110.0,242.0,1131460.0,,1711 W. TEMPLE ST.,LOS ANGELES,CA,90026,LOS ANGELES,SILVER LAKE MEDICAL CENTER,,0.357413,3351596.0,-5417.0,3242257.0,,,4872.0,23173.0,,82836.0,3330.0,4414062.0,14641016.0,10577131.0,3035960.0,921396.0,641653.0,,,,,,,2008,unique reports
60123,2008-10-21,2008-12-31,2009-12-22,2009-11-23,v1996,42.0,2429191.0,558145.0,1871046.0,2713661.0,112107.0,,1397724.0,26.0,17.0,,508355.0,,1830 FRANKLIN STREET,DENVER,CO,80218,DENVER,COLORADO ORTHOPAEDIC & SURGICAL HOSP,,0.97405,8562188.0,213377.0,8329339.0,,,,,,344611.0,,1849029.0,2415823.0,1510695.0,918497.0,1199492.0,809200.0,,,,,,,2008,unique reports
150172,2008-10-30,2008-12-31,2010-01-15,2009-12-17,v1996,12.0,6665943.0,2137105.0,4528838.0,1406775.0,22244.0,,1315765.0,54.0,10.0,,68723.0,,4023 REAS LANE,NEW ALBANY,IN,47150,FLOYD,PHYSICIANS MEDICAL CENTER,,0.197691,11559351.0,148417.0,12050800.0,,,,,,338289.0,,2306818.0,5679306.0,1366845.0,5299098.0,84273.0,60431.0,,,,,,,2008,unique reports
150173,2008-11-10,2008-12-31,2010-07-14,2010-07-06,v1996,127.0,95159263.0,43489986.0,51669277.0,79686597.0,4566709.0,1557575.0,12923384.0,1207.0,351.0,115.0,3136880.0,,6165 MCCARTY LANE,LAFAYETTE,IN,47905,TIPPECANOE,CLARIAN ARNETT HOSPITAL,1161150.0,0.669431,217381093.0,3400120.0,213728127.0,,427207.0,,,,949391.0,2276368.0,40619613.0,29731494.0,20274365.0,32386435.0,8446655.0,7564445.0,,,,,,,2008,unique reports
180001,2008-10-28,2008-12-31,2013-06-13,2013-06-10,v1996,177.0,49601307.0,14434319.0,35166988.0,15612217.0,8024184.0,2654187.0,18271724.0,1414.0,494.0,221.0,3757137.0,6885.0,85 NORTH GRAND AVENUE,FT. THOMAS,KY,41075-1793,CAMPBELL,ST LUKE HOSPITAL EAST,,0.28635,,2030544.0,25973108.0,1489772.0,24922374.0,,35382201.0,,31594961.0,,78341678.0,11360761.0,31843790.0,19453634.0,3988635.0,3763692.0,,,,,,,2008,unique reports
180045,2008-10-28,2008-12-31,2013-06-13,2013-06-10,v1996,131.0,53195847.0,15402754.0,37793093.0,16714537.0,6410935.0,885600.0,18620925.0,1359.0,393.0,349.0,3708130.0,973.0,7380 TURFWAY ROAD,FLORENCE,KY,41042-1355,BOONE,ST. LUKE HOSPITAL - WEST,,0.283174,65204.0,,54275944.0,3356055.0,24096734.0,,22990708.0,,34267253.0,,-42579550.0,4338374.0,31472861.0,23582078.0,3819109.0,3371633.0,,,,,,,2008,unique reports
230239,2008-10-01,2008-12-31,2013-05-17,2013-05-16,v1996,87.0,35755508.0,18639319.0,17116189.0,18615812.0,1613388.0,522081.0,8589178.0,661.0,281.0,45.0,2165515.0,,500 OSBORNE BOULEVARD,SAULT STE. MARIE,MI,49783,CHIPPEWA,CHIPPEWA COUNTY WAR MEMORIAL HOSPITA,,0.431951,5306018.0,2488649.0,18921056.0,,27942667.0,,,,,,16151940.0,12071393.0,12625497.0,19634874.0,2675565.0,2556788.0,,,,,,,2008,unique reports
234038,2008-11-01,2008-12-31,2010-04-12,2010-04-07,v1996,90.0,3384300.0,2439042.0,945258.0,2617835.0,3384300.0,,,4167.0,72.0,4030.0,,,15000 GRATIOT AVE.,DETROIT,MI,48205,WAYNE,BCA  OF DETROIT LLC,,,9853.0,-154704.0,182105.0,,,,,,7284.0,,1907616.0,963653.0,3384300.0,,452242.0,434998.0,,,,,,,2008,unique reports
251320,2008-10-01,2008-12-31,2011-08-30,2011-08-24,v1996,22.0,4518153.0,2967060.0,1551093.0,3911017.0,209863.0,,1279113.0,110.0,46.0,42.0,,,123 MCCOMB AVENUE,PORT GIBSON,MS,39150,CLAIBORNE,PATIENTS  CHOICE MED CTR OF CLAIBORN,,0.616943,5840574.0,116365.0,2072763.0,20182.0,1960262.0,,374680.0,55443.0,1276653.0,80591.0,1569707.0,1970965.0,2336285.0,1797079.0,153466.0,,,,,,,,2008,unique reports
252011,2008-10-01,2008-12-31,2010-11-01,2010-10-28,v1996,,,,,,,,,,,,,,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,BATESVILLE SPECIALTY HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,2008,unique reports
260097,2008-10-01,2008-12-31,2012-10-26,2012-10-15,v1996,91.0,38295077.0,17490542.0,20804535.0,18176909.0,2961481.0,,9027667.0,738.0,261.0,144.0,1620731.0,11109.0,403 BURKARTH ROAD,WARRENSBURG,MO,64093,JOHNSON,WESTERN MISSOURI MEDICAL CENTER,2503933.0,0.365081,6040803.0,382427.0,26180965.0,852931.0,12743516.0,,,,12258707.0,,14922373.0,7671102.0,12225312.0,20153203.0,2301673.0,2261778.0,,,,,,,2008,unique reports
263030,2008-11-25,2008-12-31,2012-06-22,2012-06-22,v1996,35.0,513758.0,306962.0,206796.0,725821.0,216972.0,,296786.0,22.0,9.0,,,,14709 OLIVE BOULEVARD,CHESTERFIELD,MO,63017,ST. LOUIS,ST. LUKE S REHABILITATION HOSPITAL,,,8678895.0,92730.0,8627677.0,,23533.0,,27685.0,,,,6905198.0,1422754.0,513758.0,,328069.0,293260.0,,,,,,,2008,unique reports
362027,2008-11-01,2008-11-30,2010-08-05,2010-08-04,v1996,60.0,2616369.0,966301.0,1650068.0,1199565.0,737685.0,,1878684.0,26.0,12.0,1.0,,,200 EAST MARKET STREET,AKRON,OH,44308,SUMMIT,SSH - AKRON LLC,,,802454.0,1781.0,2074373.0,,,937.0,,,25079.0,,823866.0,428308.0,2616369.0,,590586.0,456932.0,,,,,,,2008,unique reports
371330,2008-10-01,2008-12-31,2009-12-30,2009-12-09,v1996,25.0,4918902.0,1889156.0,3029746.0,2218566.0,414215.0,,978491.0,87.0,52.0,13.0,,,ONE WICKERSHAM,MANGUM,OK,73554,GREER,MANGUM CITY HOSPITAL,,,6110.0,53558.0,709545.0,7789.0,,,119069.0,,78574.0,,2436211.0,3696208.0,1453394.0,2986161.0,383711.0,,,,,,,,2008,unique reports
441312,2008-11-01,2008-12-31,2012-03-30,2012-03-09,v1996,25.0,2895039.0,1489446.0,1405593.0,1469032.0,237020.0,,455010.0,119.0,82.0,10.0,,,353 MAIN STREET,ERIN,TN,37061,HOUSTON,PATIENTS  CHOICE MEDICAL CENTER OF E,,,31801.0,405571.0,1965838.0,,,,,,25401.0,,1861462.0,2927042.0,733130.0,1868082.0,284330.0,,,,,,,,2008,unique reports
450683,2008-10-30,2008-12-31,2013-05-07,2013-05-03,v1996,106.0,7755175.0,1849387.0,5905788.0,2220120.0,3649151.0,,1854474.0,271.0,112.0,10.0,593098.0,1925.0,1551 HWY 34 SOUTH,TERRELL,TX,75160,KAUFMAN,RENAISSANCE HOSPITAL TERRELL,,0.269604,,415544.0,,,,,,,,,1448168.0,1077436.0,5858224.0,1896951.0,1019214.0,944589.0,,,,,,,2008,unique reports
451357,2008-10-01,2008-12-31,2010-01-13,2009-12-31,v1996,25.0,13619905.0,6807644.0,6812261.0,7366160.0,811039.0,,1625402.0,118.0,82.0,13.0,,,1700 BRAZOS,ROCKDALE,TX,76567,MILAM,RICHARDS MEMORIAL HOSPITAL,,,20222.0,380320.0,4290856.0,1995.0,134946.0,,2701.0,,944889.0,,8525325.0,3839614.0,2497675.0,9150870.0,716178.0,,,,,,,,2008,unique reports
500050,2008-10-01,2008-12-31,2012-12-10,2012-12-05,v1996,368.0,296812464.0,110875857.0,185936607.0,112188746.0,40664476.0,7587592.0,204469969.0,5086.0,1263.0,627.0,15336694.0,84696.0,400 MOTHER JOSEPH PLACE,VANCOUVER,WA,98664,CLARK,SOUTHWEST WASHINGTON MEDICAL CENTER,10483740.0,0.350592,4952431.0,4318917.0,252456433.0,3540598.0,59625056.0,1303484.0,23091515.0,,139388275.0,,96106955.0,82264529.0,160536907.0,119772304.0,17225934.0,15618934.0,,,,,,,2008,unique reports
523027,2008-11-12,2008-12-31,2013-05-29,2013-05-17,v1996,40.0,593410.0,363676.0,229734.0,2438417.0,232276.0,,361134.0,32.0,23.0,,,,1625 COLDWATER CREEK DR,WAUKESHA,WI,53188-5031,WAUKESHA,REHABILITATION HOSPITAL OF WISCONSIN,,,1465954.0,10739.0,1388949.0,,,,,,77005.0,,546641.0,1058924.0,593505.0,,681482.0,532206.0,,,,,,,2008,unique reports
670053,2008-10-10,2008-12-31,2009-12-23,2009-12-09,v1996,68.0,17076406.0,4914756.0,12161650.0,20314109.0,1161623.0,787561.0,6054411.0,385.0,79.0,13.0,1021125.0,,1317 LAKE POINTE PARKWAY,SUGAR LAND,TX,77478,FORT BEND,ST. LUKE S SUGAR LAND HOSPITAL,298598.0,1.031761,111726294.0,10732079.0,110312858.0,,509049.0,,,,904387.0,,17102203.0,16870889.0,8743494.0,8332913.0,2938190.0,2338618.0,,,,,,,2008,unique reports
670054,2008-10-27,2008-12-31,2009-12-23,2009-12-07,v1996,20.0,7359840.0,3191662.0,4168178.0,3612845.0,340465.0,,3235121.0,106.0,8.0,,169448.0,,9522 HUEBNER RD,SAN ANTONIO,TX,78240,BEXAR,FOUNDATION SURGICAL SAN ANTONIO,,0.501151,,179373.0,7169767.0,,14960.0,,1953811.0,,,,7029939.0,16588783.0,3576161.0,3783679.0,210159.0,114886.0,,,,,,,2008,unique reports
673033,2008-11-19,2008-12-31,2009-11-10,2009-10-29,v1996,42.0,547993.0,101629.0,446364.0,1750588.0,276600.0,,271393.0,15.0,11.0,,,,1340 EMPIRE CENTRAL DRIVE,DALLAS,TX,75247,DALLAS,GLOBAL REHAB HOSPITAL-DALLAS,,,1974444.0,335774.0,1028384.0,,,,,,1065544.0,,400055.0,324433.0,547994.0,,403069.0,368303.0,,,,,,,2008,unique reports
